model,learning_rate,batch_size,seq_len,units_1,units_2,time_sec,accuracy,precision,recall,f1,roc_auc,val_loss,stopped_epoch
lstm,0.001,64,60,256,128,7.9,0.38722826086956524,0.38239339752407153,0.9928571428571429,0.5521350546176763,0.5546835839598997,0.8900328606598137,51
lstm,0.01,8,60,64,32,9.0,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5322094298245614,0.8956799936849017,23
lstm,0.01,8,60,128,64,14.5,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.49364035087719293,0.8956958693127299,33
lstm,0.01,8,60,256,128,49.3,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5135612468671679,0.8956796425257543,48
lstm,0.01,64,60,128,64,1.6,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.4943609022556391,0.8960844527843387,24
lstm,0.01,64,60,256,128,6.2,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.533172775689223,0.8957011704297029,40
lstm,0.01,32,60,64,32,5.0,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.4399161967418546,0.895681943080222,46
lstm,0.01,32,60,256,128,5.9,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.45287828947368425,0.8964386605477148,21
lstm,0.01,32,60,128,64,5.5,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5326284461152883,0.8956815605015718,46
lstm,0.01,16,60,256,128,22.4,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5,0.895680118900861,42
lstm,0.01,16,60,128,64,4.5,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5101699561403509,0.8966953541881354,21
lstm,0.001,8,60,64,32,10.5,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5581179511278196,0.895635395087013,27
lstm,0.001,8,60,128,64,10.9,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5673284774436091,0.8956810162048932,25
lstm,0.01,64,60,64,32,1.5,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5757949561403508,0.896056683950646,24
lstm,0.0001,64,60,128,64,1.9,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5504111842105264,0.89551855981812,29
lstm,0.0001,32,60,128,64,3.0,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5544329573934837,0.8955620827600937,25
lstm,0.001,32,60,128,64,4.0,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.4918272243107769,0.8945647394934366,35
lstm,0.001,32,60,64,32,2.6,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5482103696741855,0.8954507311185201,24
lstm,0.001,16,60,64,32,5.0,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5527216478696741,0.8954581715339838,25
lstm,0.01,16,60,64,32,5.0,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5343984962406015,0.8956903320874354,25
lstm,0.0001,8,60,128,64,9.5,0.3804347826086957,0.3804347826086957,1.0,0.5511811023622047,0.5558623120300752,0.8955794133881266,22
lstm,0.001,32,60,256,128,8.1,0.3804347826086957,0.3801089918256131,0.9964285714285714,0.5502958579881657,0.556328320802005,0.895124846188597,29
lstm,0.01,64,15,256,128,2.8,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.46787251912440136,0.9014995533250584,34
lstm,0.01,16,15,256,128,12.9,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5245496023789166,0.9013297328930844,46
lstm,0.01,16,15,64,32,6.3,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.46667322432487646,0.9013297050171478,31
lstm,0.01,8,15,128,64,11.9,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.49137794054221745,0.9013297881916902,30
lstm,0.01,8,15,256,128,21.4,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5519744856652113,0.9016512700360084,39
lstm,0.01,16,15,128,64,4.8,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5326382215630936,0.9013284682774272,24
lstm,0.01,8,15,64,32,18.3,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5353167727241773,0.9013333608442387,44
lstm,0.01,32,15,256,128,3.4,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5339510142931728,0.9014402242667775,23
lstm,0.01,32,15,128,64,4.1,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5196010926067448,0.9013296599170554,35
lstm,0.01,64,15,128,64,1.3,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5415402425829103,0.902138886342937,21
lstm,0.01,64,15,64,32,1.3,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.4577295873971898,0.9013805407534987,22
lstm,0.01,32,15,64,32,2.3,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.518969287459992,0.9013386241836693,22
lstm,0.001,32,15,128,64,2.8,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5512178327948487,0.9011247627182152,24
lstm,0.0001,64,15,128,64,1.9,0.37733333333333335,0.37733333333333335,1.0,0.547918683446273,0.5423536444185502,0.9008111076663202,30
lstm,0.01,8,30,256,128,22.5,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5274151736409376,0.8961761262681749,32
lstm,0.01,32,30,64,32,3.8,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.4656322861700823,0.8962009656474965,36
lstm,0.01,32,30,128,64,2.8,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5321473493680207,0.8961771518791316,23
lstm,0.01,16,30,128,64,12.7,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.49468876549269847,0.8961764185821416,56
lstm,0.01,16,30,64,32,47.2,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5,0.8961799991998636,231
lstm,0.01,16,30,256,128,16.2,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5041531169468646,0.8961760273838408,45
lstm,0.01,8,30,64,32,10.1,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5413279236716162,0.8961753699057861,25
lstm,0.01,8,30,128,64,20.0,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.4905203092403976,0.8961782051228929,46
lstm,0.0001,64,30,64,32,1.9,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5396981224690146,0.8964000389950485,33
lstm,0.0001,16,30,128,64,5.7,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5499524481531476,0.8960975815053187,24
lstm,0.0001,8,30,128,64,10.5,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5366340962081236,0.8959868020481534,24
lstm,0.0001,32,30,256,128,4.8,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5371326236348017,0.8963518585738551,24
lstm,0.0001,32,30,128,64,3.0,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5514940483494907,0.8961344477774082,25
lstm,0.001,8,30,128,64,10.4,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.557219444103571,0.8960989446475588,24
lstm,0.01,64,30,128,64,2.9,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.4448551969566818,0.8961800615449518,47
lstm,0.01,64,30,256,128,5.7,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5434179040373052,0.896169226516709,54
lstm,0.01,64,30,64,32,3.7,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.4968899558228003,0.8961824254057873,65
lstm,0.01,32,30,256,128,5.7,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.46287504601791635,0.8962443128399465,28
lstm,0.001,64,30,128,64,1.4,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5552828567922444,0.8962288418948878,22
lstm,0.001,64,30,64,32,1.3,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5459373849552093,0.8961733935893267,23
lstm,0.001,32,30,256,128,4.7,0.37718120805369126,0.37718120805369126,1.0,0.5477582846003899,0.5477742667812001,0.8960474953340845,23
