feature,importance
d-9_SP500 3 day momentum,0.01557450082960142
d-8_SP500 1 day return,0.012896564442413182
d-10_SP500 3 day momentum,0.012616976610659133
d-3_VIX 1 day change,0.012300136950102628
d-5_VIX 1 day change,0.012296263951830099
d-3_SP500 1 day return,0.012102207390812214
d-9_SP500 1 day return,0.012058666777864376
d-3_SP500 3 day momentum,0.01205665109834492
d-6_SP500 1 day return,0.011979388453887735
d-1_SP500 3 day momentum,0.011955260221104639
d-5_SP500 3 day momentum,0.011799609142138751
d-7_SP500 3 day momentum,0.011794976072537697
d-8_VIX 1 day change,0.011746250606531486
d-2_SP500 1 day return,0.011732409087386122
d-10_SP500 1 day return,0.011615721195203725
d-7_SP500 1 day return,0.01137863072651432
d-1_VIX 1 day change,0.011357119641303568
d-6_SP500 3 day momentum,0.011261425701754485
d-4_SP500 3 day momentum,0.01120115720408597
d-5_SP500 1 day return,0.010969534572721283
d-10_DGS10 1 day change,0.010897057397432868
d-4_SP500 1 day return,0.01084910629656224
d-6_VIX 1 day change,0.0108112172520069
d-9_VIX 1 day change,0.010795695525686655
d-7_VIX 1 day change,0.010717380201837814
d-10_VIX 1 day change,0.01052801568480343
d-1_SP500 1 day return,0.010295008100827339
d-4_VIX 1 day change,0.01023980420936196
d-3_news_article_count,0.010210398204079636
d-2_SP500 3 day momentum,0.010121424288155238
d-2_VIX 1 day change,0.010010540243606854
d-9_news_article_count,0.009971522190631653
d-8_DGS10 1 day change,0.009452912493271915
d-8_SP500 3 day momentum,0.009401353845911422
d-5_DGS2 1 day change,0.009352342874329482
d-2_DGS10 1 day change,0.00934144416997429
d-1_news_article_count,0.009140811367280987
d-6_news_article_count,0.009070408035040861
d-2_news_article_count,0.009039870523455631
d-5_DGS10 1 day change,0.008778264384482839
d-9_VIX,0.008721310159197875
d-4_news_article_count,0.00869500494562065
d-10_VIX,0.008663469205904344
d-8_news_article_count,0.008630415967896777
d-1_VIX,0.008614887468495497
d-7_DGS10 1 day change,0.008606892470981477
d-7_DGS2 1 day change,0.008431195827634339
d-6_DGS10 1 day change,0.008322389579873038
d-10_DGS2 1 day change,0.008172873502529819
d-10_news_article_count,0.007999026222128825
d-6_VIX,0.007966781367612646
d-5_news_article_count,0.007959555075971403
d-4_VIX,0.007951726401968168
d-7_VIX,0.007926191719619592
d-7_news_article_count,0.007837358651273224
d-3_VIX,0.007732880609312375
d-9_DGS10 1 day change,0.007620369080212279
d-8_VIX,0.007481058626708393
d-8_DGS2 1 day change,0.007480346732081348
d-2_VIX,0.007448780490202805
